DATE,VIX
11/05/2016,14.69
12/05/2016,14.41
13/05/2016,15.04
16/05/2016,14.68
17/05/2016,15.57
18/05/2016,15.95
19/05/2016,16.33
20/05/2016,15.2
23/05/2016,15.82
24/05/2016,14.42
25/05/2016,13.9
26/05/2016,13.43
27/05/2016,13.12
31/05/2016,14.19
01/06/2016,14.2
02/06/2016,13.63
03/06/2016,13.47
06/06/2016,13.65
07/06/2016,14.05
08/06/2016,14.08
09/06/2016,14.64
10/06/2016,17.03
13/06/2016,20.97
14/06/2016,20.5
15/06/2016,20.14
16/06/2016,19.37
17/06/2016,19.41
20/06/2016,18.37
21/06/2016,18.48
22/06/2016,21.17
23/06/2016,17.25
24/06/2016,25.76
27/06/2016,23.85
28/06/2016,18.75
29/06/2016,16.64
30/06/2016,15.63
01/07/2016,14.77
05/07/2016,15.58
06/07/2016,14.96
07/07/2016,14.76
08/07/2016,13.2
11/07/2016,13.54
12/07/2016,13.55
13/07/2016,13.04
14/07/2016,12.82
15/07/2016,12.67
18/07/2016,12.44
19/07/2016,11.97
20/07/2016,11.77
21/07/2016,12.74
22/07/2016,12.02
25/07/2016,12.87
26/07/2016,13.05
27/07/2016,12.83
28/07/2016,12.72
29/07/2016,11.87
01/08/2016,12.44
02/08/2016,13.37
03/08/2016,12.86
04/08/2016,12.42
05/08/2016,11.39
08/08/2016,11.5
09/08/2016,11.66
10/08/2016,12.05
11/08/2016,11.68
12/08/2016,11.55
15/08/2016,11.81
16/08/2016,12.64
17/08/2016,12.19
18/08/2016,11.43
19/08/2016,11.34
22/08/2016,12.27
23/08/2016,12.38
24/08/2016,13.45
25/08/2016,13.63
26/08/2016,13.65
29/08/2016,12.94
30/08/2016,13.12
31/08/2016,13.42
01/09/2016,13.48
02/09/2016,11.98
06/09/2016,12.02
07/09/2016,11.94
08/09/2016,12.51
09/09/2016,17.5
12/09/2016,15.16
13/09/2016,17.85
14/09/2016,18.14
15/09/2016,16.3
16/09/2016,15.37
19/09/2016,15.53
20/09/2016,15.92
21/09/2016,13.3
22/09/2016,12.02
23/09/2016,12.29
26/09/2016,14.5
27/09/2016,13.1
28/09/2016,12.39
29/09/2016,14.02
30/09/2016,13.29
03/10/2016,13.57
04/10/2016,13.63
05/10/2016,12.99
06/10/2016,12.84
07/10/2016,13.48
10/10/2016,13.38
11/10/2016,15.36
12/10/2016,15.91
13/10/2016,16.69
14/10/2016,16.12
17/10/2016,16.21
18/10/2016,15.28
19/10/2016,14.41
20/10/2016,13.75
21/10/2016,13.34
24/10/2016,13.02
25/10/2016,13.46
26/10/2016,14.24
27/10/2016,15.36
28/10/2016,16.19
31/10/2016,17.06
01/11/2016,18.56
02/11/2016,19.32
03/11/2016,22.08
04/11/2016,22.51
07/11/2016,18.71
08/11/2016,18.74
09/11/2016,14.38
10/11/2016,14.74
11/11/2016,14.17
14/11/2016,14.48
15/11/2016,13.37
16/11/2016,13.72
17/11/2016,13.35
18/11/2016,12.85
21/11/2016,12.42
22/11/2016,12.41
23/11/2016,12.43
25/11/2016,12.34
28/11/2016,13.15
29/11/2016,12.9
30/11/2016,13.33
01/12/2016,14.07
02/12/2016,14.12
05/12/2016,12.14
06/12/2016,11.79
07/12/2016,12.22
08/12/2016,12.64
09/12/2016,11.75
12/12/2016,12.64
13/12/2016,12.72
14/12/2016,13.19
15/12/2016,12.79
16/12/2016,12.2
19/12/2016,11.71
20/12/2016,11.45
21/12/2016,11.27
22/12/2016,11.43
23/12/2016,11.44
27/12/2016,11.99
28/12/2016,12.95
29/12/2016,13.37
30/12/2016,14.04
03/01/2017,12.85
04/01/2017,11.85
05/01/2017,11.67
06/01/2017,11.32
09/01/2017,11.56
10/01/2017,11.49
11/01/2017,11.26
12/01/2017,11.54
13/01/2017,11.23
17/01/2017,11.87
18/01/2017,12.48
19/01/2017,12.78
20/01/2017,11.54
23/01/2017,11.77
24/01/2017,11.07
25/01/2017,10.81
26/01/2017,10.63
27/01/2017,10.58
30/01/2017,11.88
31/01/2017,11.99
01/02/2017,11.81
02/02/2017,11.93
03/02/2017,10.97
06/02/2017,11.37
07/02/2017,11.29
08/02/2017,11.45
09/02/2017,10.88
10/02/2017,10.85
13/02/2017,11.07
14/02/2017,10.74
15/02/2017,11.97
16/02/2017,11.76
17/02/2017,11.49
21/02/2017,11.57
22/02/2017,11.74
23/02/2017,11.71
24/02/2017,11.47
27/02/2017,12.09
28/02/2017,12.92
01/03/2017,12.54
02/03/2017,11.81
03/03/2017,10.96
06/03/2017,11.24
07/03/2017,11.45
08/03/2017,11.86
09/03/2017,12.3
10/03/2017,11.66
13/03/2017,11.35
14/03/2017,12.3
15/03/2017,11.63
16/03/2017,11.21
17/03/2017,11.28
20/03/2017,11.34
21/03/2017,12.47
22/03/2017,12.81
23/03/2017,13.12
24/03/2017,12.96
